asset_id,label,state,categories,concept_tags,credibility,tacitness,transferability,ai_interfaceability,human_calibration_required,supporting_trace_ids
asset-concept-44348e917f92,Repeatable capability in Generative AI,provisional,codified|combinative_execution,Generative AI,0.8219,0.0,0.895,0.8633,False,trace-syn-maya-chen-002|trace-syn-maya-chen-013|trace-syn-maya-chen-016
asset-execution-c6f083fb59b8,End-to-end execution capability in Reproducible research,provisional,codified|tacit_procedural|combinative_execution|bundle,Reproducible research,0.8218,0.39,0.7425,0.6478,False,trace-syn-maya-chen-001|trace-syn-maya-chen-003|trace-syn-maya-chen-009|trace-syn-maya-chen-011|trace-syn-maya-chen-012
asset-concept-5779e599d617,Repeatable capability in Reproducible research,provisional,codified|tacit_procedural|combinative_execution|bundle,Reproducible research,0.8218,0.39,0.7425,0.6478,False,trace-syn-maya-chen-001|trace-syn-maya-chen-003|trace-syn-maya-chen-009|trace-syn-maya-chen-011|trace-syn-maya-chen-012
asset-execution-c5664f735553,End-to-end execution capability in Knowledge management,provisional,codified|combinative_execution,Knowledge management,0.8217,0.05,0.7875,0.686,False,trace-syn-maya-chen-016|trace-syn-maya-chen-017|trace-syn-maya-chen-018|trace-syn-maya-chen-021
asset-concept-f79eed50c510,Repeatable capability in Knowledge management,provisional,codified|combinative_execution,Knowledge management,0.8217,0.05,0.7875,0.686,False,trace-syn-maya-chen-016|trace-syn-maya-chen-017|trace-syn-maya-chen-018|trace-syn-maya-chen-021
asset-concept-8afb71e20be8,Repeatable capability in Teaching and curriculum design,provisional,codified|combinative_execution,Teaching and curriculum design,0.8217,0.0,0.795,0.735,False,trace-syn-maya-chen-005|trace-syn-maya-chen-013|trace-syn-maya-chen-014|trace-syn-maya-chen-015
asset-relational-07bd5ef3905d,Recurring collaborative linkage with Alex Rivera,provisional,codified|tacit_procedural|relational|combinative_execution|bundle,Agentic AI|Knowledge management|Reproducible research|Software engineering,0.8132,0.4615,0.6692,0.5969,True,trace-syn-maya-chen-001|trace-syn-maya-chen-002|trace-syn-maya-chen-003|trace-syn-maya-chen-005|trace-syn-maya-chen-006|trace-syn-maya-chen-010|trace-syn-maya-chen-011|trace-syn-maya-chen-012|trace-syn-maya-chen-015|trace-syn-maya-chen-016|trace-syn-maya-chen-017|trace-syn-maya-chen-018|trace-syn-maya-chen-019
asset-execution-6565b2d7adeb,End-to-end execution capability in Data engineering,provisional,codified|tacit_procedural|combinative_execution|bundle,Data engineering,0.8071,0.3467,0.675,0.7443,False,trace-syn-maya-chen-008|trace-syn-maya-chen-011|trace-syn-maya-chen-012
asset-concept-e6cdcc252383,Repeatable capability in Data engineering,provisional,codified|tacit_procedural|combinative_execution|bundle,Data engineering,0.8071,0.3467,0.675,0.7443,False,trace-syn-maya-chen-008|trace-syn-maya-chen-011|trace-syn-maya-chen-012
asset-relational-dc0fa511cb52,Recurring collaborative linkage with Jordan Patel,provisional,codified|tacit_procedural|relational|combinative_execution|bundle,Data engineering|Multi-omics integration|Reproducible research|Software engineering,0.7922,0.5611,0.6375,0.519,True,trace-syn-maya-chen-003|trace-syn-maya-chen-007|trace-syn-maya-chen-008|trace-syn-maya-chen-009|trace-syn-maya-chen-010|trace-syn-maya-chen-011|trace-syn-maya-chen-012|trace-syn-maya-chen-019|trace-syn-maya-chen-020
asset-execution-b1c9716630ec,End-to-end execution capability in Causal inference,provisional,codified|combinative_execution,Causal inference,0.7899,0.0167,0.7575,0.7203,False,trace-syn-maya-chen-004|trace-syn-maya-chen-005|trace-syn-maya-chen-006
asset-concept-26a422f4e204,Repeatable capability in Causal inference,provisional,codified|combinative_execution,Causal inference,0.7899,0.0167,0.7575,0.7203,False,trace-syn-maya-chen-004|trace-syn-maya-chen-005|trace-syn-maya-chen-006
